epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.15622767806053162,3.4524660110473633,0.001,0.17203107476234436,2.1665234565734863
1,0.15765658020973206,2.144289493560791,0.001,0.14206437766551971,2.1654040813446045
2,0.16837342083454132,2.1046929359436035,0.001,0.18201997876167297,2.0076053142547607
3,0.19480828940868378,2.113867998123169,0.001,0.17425082623958588,2.030409812927246
4,0.16575375199317932,2.124431848526001,0.001,0.15094339847564697,2.0238876342773438
5,0.14884495735168457,2.0817041397094727,0.001,0.23751387000083923,2.00299334526062
6,0.1590854972600937,2.0661678314208984,0.001,0.2486126571893692,1.9358266592025757
7,0.16384853422641754,2.051154851913452,0.001,0.20421753823757172,1.893662691116333
8,0.17599427700042725,2.0110056400299072,0.001,0.2153163105249405,1.9728120565414429
9,0.1814717799425125,2.0153238773345947,0.001,0.15205326676368713,2.597085952758789
10,0.19576089084148407,1.9766302108764648,0.001,0.13651497662067413,1.994943380355835
11,0.22481542825698853,1.9367265701293945,0.001,0.29966703057289124,1.7043241262435913
12,0.22195760905742645,1.8751559257507324,0.001,0.12985572218894958,3.33031964302063
13,0.24339129030704498,1.8724985122680664,0.001,0.3496115505695343,1.7232067584991455
14,0.24815432727336884,1.8588858842849731,0.001,0.4150943458080292,1.6296383142471313
15,0.27411288022994995,1.7916598320007324,0.001,0.17314095795154572,2.379812479019165
16,0.2900690734386444,1.7637265920639038,0.001,0.24417313933372498,2.5509397983551025
17,0.28197190165519714,1.7767547369003296,0.001,0.26859045028686523,1.8349367380142212
18,0.3017385005950928,1.7510303258895874,0.001,0.3940066695213318,1.545089602470398
19,0.3007858991622925,1.715452790260315,0.001,0.24528302252292633,2.064990520477295
20,0.31078827381134033,1.690700888633728,0.001,0.30743616819381714,1.8358458280563354
21,0.3186472952365875,1.693856120109558,0.001,0.34073251485824585,1.7131105661392212
22,0.2986425459384918,1.7356510162353516,0.001,0.1842397302389145,2.624213457107544
23,0.3329364061355591,1.6667648553848267,0.001,0.29633739590644836,2.188525676727295
24,0.35389378666877747,1.5731438398361206,0.0005,0.26082131266593933,1.978683590888977
25,0.38437724113464355,1.5284494161605835,0.0005,0.368479460477829,1.7583208084106445
26,0.3972374498844147,1.4789053201675415,0.0005,0.3940066695213318,1.578762412071228
27,0.4258156716823578,1.4481854438781738,0.0005,0.41620421409606934,1.3906468152999878
28,0.43677064776420593,1.4183627367019653,0.0005,0.45504993200302124,1.393904209136963
29,0.4508216381072998,1.3894041776657104,0.0005,0.28634849190711975,1.720892310142517
30,0.45820432901382446,1.3656691312789917,0.0005,0.5416204333305359,1.1986459493637085
31,0.4639199674129486,1.351404070854187,0.0005,0.4950055480003357,1.248716950416565
32,0.4979757070541382,1.2949676513671875,0.0005,0.5338512659072876,1.2390670776367188
33,0.51297926902771,1.253505825996399,0.0005,0.4605993330478668,1.9080346822738647
34,0.518456757068634,1.2207574844360352,0.0005,0.5049944519996643,1.4152363538742065
35,0.532745897769928,1.2222591638565063,0.0005,0.6947835683822632,1.0328664779663086
36,0.5532269477844238,1.1676974296569824,0.0005,0.6958934664726257,0.9048449993133545
37,0.5508454442024231,1.1721441745758057,0.0005,0.5127636194229126,2.159970998764038
38,0.5746606588363647,1.122482419013977,0.0005,0.5005549192428589,1.9930756092071533
39,0.5846630334854126,1.1209990978240967,0.0005,0.5394006371498108,1.5030571222305298
40,0.5718027949333191,1.1424890756607056,0.0005,0.6104328632354736,1.0110996961593628
41,0.5722790956497192,1.1151131391525269,0.0005,0.6548279523849487,0.9669397473335266
42,0.5865682363510132,1.0631729364395142,0.00025,0.7880133390426636,0.7375243902206421
43,0.6137175559997559,1.0109310150146484,0.00025,0.6381797790527344,1.133590817451477
44,0.6122886538505554,1.0039846897125244,0.00025,0.7047724723815918,0.7818288803100586
45,0.6251488327980042,0.9907072186470032,0.00025,0.47058823704719543,1.5016179084777832
46,0.6296737194061279,0.9923200607299805,0.00025,0.7236403822898865,0.8344057202339172
47,0.6263396143913269,0.9624748826026917,0.00025,0.8057713508605957,0.6814450621604919
48,0.6518218517303467,0.9483667016029358,0.00025,0.5604883432388306,1.787919044494629
49,0.6449154615402222,0.9353901147842407,0.00025,0.7669256329536438,0.682124137878418
