epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.15432246029376984,3.939201593399048,0.001,0.1476137638092041,2.7053537368774414
1,0.14836865663528442,2.092090129852295,0.001,0.139844611287117,2.1402029991149902
2,0.12264824658632278,2.0825695991516113,0.001,0.11320754885673523,2.0864570140838623
3,0.11574184149503708,2.0819122791290283,0.001,0.11875693500041962,2.0803780555725098
4,0.112884022295475,2.078917980194092,0.001,0.11320754885673523,2.079522132873535
5,0.1302691102027893,2.0812792778015137,0.001,0.12097669392824173,2.079620122909546
6,0.11979042738676071,2.0863029956817627,0.001,0.11875693500041962,2.079442024230957
7,0.11693260073661804,2.0813491344451904,0.001,0.10987791419029236,2.0795862674713135
8,0.12479161471128464,2.0805249214172363,0.001,0.11875693500041962,2.079638719558716
9,0.1269349902868271,2.081110954284668,0.001,0.11875693500041962,2.079599142074585
10,0.12217194586992264,2.080266237258911,0.0005,0.11875693500041962,2.079578399658203
11,0.11717075854539871,2.0795650482177734,0.0005,0.11875693500041962,2.0795388221740723
12,0.1190759688615799,2.0795962810516357,0.0005,0.1265260875225067,2.079416513442993
13,0.12479161471128464,2.080836296081543,0.0005,0.11875693500041962,2.0793280601501465
14,0.1338413953781128,2.080091953277588,0.0005,0.1265260875225067,2.0792179107666016
15,0.11883781850337982,2.0799405574798584,0.0005,0.1265260875225067,2.0795114040374756
16,0.1295546591281891,2.0814943313598633,0.0005,0.1265260875225067,2.0793776512145996
17,0.11788520961999893,2.0803816318511963,0.0005,0.11875693500041962,2.07936692237854
18,0.12479161471128464,2.079563617706299,0.0005,0.1687014400959015,2.0793023109436035
19,0.12669683992862701,2.0795018672943115,0.0005,0.11875693500041962,2.07942271232605
20,0.12217194586992264,2.079509973526001,0.00025,0.11875693500041962,2.0795435905456543
21,0.1321743279695511,2.079381227493286,0.00025,0.11875693500041962,2.0794920921325684
22,0.12431531399488449,2.0794639587402344,0.00025,0.11875693500041962,2.0794670581817627
23,0.12645867466926575,2.0793683528900146,0.00025,0.11875693500041962,2.079464912414551
24,0.11883781850337982,2.0795392990112305,0.00025,0.11875693500041962,2.0794460773468018
